pincode,state,countryCode
"=""142021""",PUNJAB,IN
"=""142022""",PUNJAB,IN
"=""142023""",PUNJAB,IN
"=""142024""",PUNJAB,IN
"=""142025""",PUNJAB,IN
"=""142026""",PUNJAB,IN
"=""142027""",PUNJAB,IN
"=""142029""",PUNJAB,IN
"=""142030""",PUNJAB,IN
"=""142031""",PUNJAB,IN
"=""142032""",PUNJAB,IN
"=""142033""",PUNJAB,IN
"=""142034""",PUNJAB,IN
"=""142035""",PUNJAB,IN
"=""142036""",PUNJAB,IN
"=""142037""",PUNJAB,IN
"=""142038""",PUNJAB,IN
"=""142039""",PUNJAB,IN
"=""142040""",PUNJAB,IN
"=""142041""",PUNJAB,IN
"=""142042""",PUNJAB,IN
"=""142043""",PUNJAB,IN
"=""142044""",PUNJAB,IN
"=""142045""",PUNJAB,IN
"=""142046""",PUNJAB,IN
"=""142047""",PUNJAB,IN
"=""142048""",PUNJAB,IN
"=""142049""",PUNJAB,IN
"=""142050""",PUNJAB,IN
"=""142052""",PUNJAB,IN
"=""142053""",PUNJAB,IN
"=""142054""",PUNJAB,IN
"=""142055""",PUNJAB,IN
"=""142056""",PUNJAB,IN
"=""142057""",PUNJAB,IN
"=""142058""",PUNJAB,IN
"=""142060""",PUNJAB,IN
"=""143001""",PUNJAB,IN
"=""143002""",PUNJAB,IN
"=""143004""",PUNJAB,IN
"=""143005""",PUNJAB,IN
"=""143006""",PUNJAB,IN
"=""143008""",PUNJAB,IN
"=""143009""",PUNJAB,IN
"=""143022""",PUNJAB,IN
"=""143101""",PUNJAB,IN
"=""143102""",PUNJAB,IN
"=""143103""",PUNJAB,IN
"=""143105""",PUNJAB,IN
"=""143107""",PUNJAB,IN
"=""143108""",PUNJAB,IN
"=""143109""",PUNJAB,IN
"=""143111""",PUNJAB,IN
"=""143112""",PUNJAB,IN
"=""143113""",PUNJAB,IN
"=""143114""",PUNJAB,IN
"=""143115""",PUNJAB,IN
"=""143116""",PUNJAB,IN
"=""143117""",PUNJAB,IN
"=""143118""",PUNJAB,IN
"=""143119""",PUNJAB,IN
"=""143149""",PUNJAB,IN
"=""143201""",PUNJAB,IN
"=""143202""",PUNJAB,IN
"=""143203""",PUNJAB,IN
"=""143204""",PUNJAB,IN
"=""143205""",PUNJAB,IN
"=""143301""",PUNJAB,IN
"=""143302""",PUNJAB,IN
"=""143303""",PUNJAB,IN
"=""143304""",PUNJAB,IN
"=""143305""",PUNJAB,IN
"=""143401""",PUNJAB,IN
"=""143402""",PUNJAB,IN
"=""143406""",PUNJAB,IN
"=""143407""",PUNJAB,IN
"=""143408""",PUNJAB,IN
"=""143409""",PUNJAB,IN
"=""143410""",PUNJAB,IN
"=""143411""",PUNJAB,IN
"=""143412""",PUNJAB,IN
"=""143413""",PUNJAB,IN
"=""143414""",PUNJAB,IN
"=""143415""",PUNJAB,IN
"=""143416""",PUNJAB,IN
"=""143419""",PUNJAB,IN
"=""143422""",PUNJAB,IN
"=""143501""",PUNJAB,IN
"=""143502""",PUNJAB,IN
"=""143504""",PUNJAB,IN
"=""143505""",PUNJAB,IN
"=""143506""",PUNJAB,IN
"=""143507""",PUNJAB,IN
"=""143511""",PUNJAB,IN
"=""143512""",PUNJAB,IN
"=""143513""",PUNJAB,IN
"=""143514""",PUNJAB,IN
"=""143515""",PUNJAB,IN
"=""143516""",PUNJAB,IN
"=""143517""",PUNJAB,IN
"=""143518""",PUNJAB,IN
"=""143519""",PUNJAB,IN
"=""143520""",PUNJAB,IN
"=""143521""",PUNJAB,IN
"=""143525""",PUNJAB,IN
"=""143526""",PUNJAB,IN
"=""143527""",PUNJAB,IN
"=""143528""",PUNJAB,IN
"=""143529""",PUNJAB,IN
"=""143530""",PUNJAB,IN
"=""143531""",PUNJAB,IN
"=""143532""",PUNJAB,IN
"=""143533""",PUNJAB,IN
"=""143534""",PUNJAB,IN
"=""143601""",PUNJAB,IN
"=""143602""",PUNJAB,IN
"=""143603""",PUNJAB,IN
"=""143604""",PUNJAB,IN
"=""143605""",PUNJAB,IN
"=""143606""",PUNJAB,IN
"=""144001""",PUNJAB,IN
"=""144002""",PUNJAB,IN
"=""144003""",PUNJAB,IN
"=""144005""",PUNJAB,IN
"=""144006""",PUNJAB,IN
"=""144007""",PUNJAB,IN
"=""144008""",PUNJAB,IN
"=""144009""",PUNJAB,IN
"=""144010""",PUNJAB,IN
"=""144020""",PUNJAB,IN
"=""144021""",PUNJAB,IN
"=""144022""",PUNJAB,IN
"=""144023""",PUNJAB,IN
"=""144024""",PUNJAB,IN
"=""144025""",PUNJAB,IN
"=""144026""",PUNJAB,IN
"=""144027""",PUNJAB,IN
"=""144028""",PUNJAB,IN
"=""144029""",PUNJAB,IN
"=""144030""",PUNJAB,IN
"=""144031""",PUNJAB,IN
"=""144032""",PUNJAB,IN
"=""144033""",PUNJAB,IN
"=""144034""",PUNJAB,IN
"=""144035""",PUNJAB,IN
"=""144036""",PUNJAB,IN
"=""144037""",PUNJAB,IN
"=""144039""",PUNJAB,IN
"=""144040""",PUNJAB,IN
"=""144041""",PUNJAB,IN
"=""144042""",PUNJAB,IN
"=""144043""",PUNJAB,IN
